S,T,Magnitude,X,Y,Temperature
97,100,0.13977559,0.9605994,-0.2779367,0.9252586
98,100,0.17977559,0.9990923,-0.0425972,0.9197797
102,100,0,0,0,0.9044444
103,100,0.194720807,0.9996446,0.0266592,0.9060249
104,100,0.068156176,0.4505264,-0.8927631,0.895977
105,100,0.048156176,-0.9591041,0.2830535,0.8924137
106,100,0.108156176,-0.7909859,-0.6118343,0.8919444
107,100,0.048156176,-0.8722208,-0.4891123,0.890795
108,100,0.040611655,0.2716632,-0.9623924,0.888046
109,100,0.020611655,0.9295403,-0.3687207,0.8916283
110,100,0.100611655,0.6913959,-0.7224761,0.8866763
111,100,0.060611655,0.6473315,-0.7622085,0.8890134
112,100,0.003087943,-0.9719479,-0.2351963,0.8842241
113,100,0.023087943,-0.0470508,-0.9988925,0.8818103
114,100,0.003087943,0.6645051,0.7472838,0.8776436
115,100,0.023087943,-0.2038873,-0.9789944,0.8722126
116,100,0.021702679,0.9255468,0.3786331,0.8764272
117,100,0.041702679,0.897328,-0.4413643,0.8750862
118,100,0.061702679,0.7661883,-0.6426162,0.8716762
119,100,0.001702679,-0.7805087,-0.6251449,0.8664272
120,100,0.06199292,0.7575341,-0.6527956,0.8647797
121,100,0.04199292,0.8099115,-0.5865521,0.8625957
122,100,0.02199292,0.9883435,-0.1522399,0.8576916
123,100,0.04199292,0.8591675,-0.5116944,0.8546551
124,100,0.064343116,0.923791,-0.3828972,0.8550479
125,100,0.044343116,0.9951706,-0.0981606,0.8544253
126,100,0.044343116,0.9324974,-0.3611766,0.8534195
127,100,0.064343116,0.9760974,-0.2173336,0.8497031
128,100,0.033942641,0.9650349,-0.2621213,0.8573084
129,100,0.013942641,0.9336056,-0.3583023,0.8505651
130,100,0.043792368,0.8400469,-0.5425137,0.8415134
131,100,0.043792368,0.8406146,-0.5416337,0.844272
132,100,0.058503292,0.9187475,-0.3948454,0.8396073
133,100,0.058503292,0.9517213,-0.3069635,0.8340325
134,100,0.028493606,0.9585866,-0.2848014,0.834205
135,100,0.068493606,0.9392922,-0.3431184,0.8321647
136,100,0.055361704,0.9481544,-0.31781,0.8370498
137,100,0.035361704,0.7406811,-0.6718568,0.8335249
138,100,0.044289424,0.8205671,-0.5715501,0.829454
139,100,0.024289424,0.9837023,-0.1798049,0.8164368
140,100,0.054800247,0.9965096,0.083478,0.8146935
141,100,0.054800247,0.8712867,-0.4907742,0.8103831
142,100,0.053908498,0.9263517,-0.3766596,0.8024999
